,日期,债券简称,债券代码,剩余期限,成交收益率,成交 - 中债(BP),成交净价,成交 - 中债(元),成交量(手),成交金额(万),中债行权,中债到期,中债净价,来源
0,2023-03-23 16:22:25,22万科MTN001,102280222.IB,1.85Y,3.6000%,1.87,98.8502,-0.0311,--,--,--,3.5813%,98.8813,银行间
1,2023-03-23 16:14:39,21万科MTN002,102100912.IB,1.10Y,3.3800%,-5.00,100.1435,0.0531,--,--,--,3.4300%,100.0904,银行间
2,2023-03-23 16:07:58,21万科MTN002,102100912.IB,1.10Y,3.3800%,-5.00,100.1435,0.0531,--,--,--,3.4300%,100.0904,银行间
3,2023-03-23 15:59:42,21万科MTN003,102101821.IB,1.46Y,3.4600%,-4.06,99.4558,0.0577,--,--,--,3.5006%,99.3981,银行间
4,2023-03-23 15:44:55,22万科MTN003,102280364.IB,1.93Y,3.5273%,-7.03,99.0298,0.1293,--,--,--,3.5976%,98.9005,银行间
5,2023-03-23 15:44:25,22万科MTN001,102280222.IB,1.85Y,3.5571%,-2.42,98.9251,0.0438,--,--,--,3.5813%,98.8813,银行间
6,2023-03-23 15:18:37,22万科MTN001,102280222.IB,1.85Y,3.5600%,-2.13,98.9201,0.0388,--,--,--,3.5813%,98.8813,银行间
7,2023-03-23 15:17:56,22万科MTN001,102280222.IB,1.85Y,3.5600%,-2.13,98.9201,0.0388,--,--,--,3.5813%,98.8813,银行间
8,2023-03-23 15:06:20,22万科MTN001,102280222.IB,1.85Y,3.5400%,-4.13,98.9550,0.0737,--,--,--,3.5813%,98.8813,银行间
9,2023-03-23 15:05:15,22万科MTN001,102280222.IB,1.85Y,3.5571%,-2.42,98.9251,0.0438,--,--,--,3.5813%,98.8813,银行间
10,2023-03-23 15:05:05,22万科MTN002,102280265.IB,1.90Y,3.5372%,-5.54,98.9866,0.1008,--,--,--,3.5926%,98.8858,银行间
11,2023-03-23 14:30:24,22万科01,149814.SZ,1.95Y,3.5361%,-7.86,99.2549,0.1363,10000,992.55,--,3.6147%,99.1186,深交所
12,2023-03-23 14:30:15,22万科01,149814.SZ,1.95Y,3.5438%,-7.09,99.2409,0.1223,10000,992.41,--,3.6147%,99.1186,深交所
13,2023-03-23 11:01:38,21万科MTN001,102100209.IB,312D,3.1497%,-24.04,100.4937,0.2006,--,--,--,3.3901%,100.2931,银行间
14,2023-03-22 16:22:14,21万科MTN001,102100209.IB,313D,3.4000%,2.97,100.2836,-0.0274,6049,6000.00,--,3.3703%,100.3110,银行间
15,2023-03-22 16:19:29,21万科MTN001,102100209.IB,313D,3.4000%,2.97,100.2836,-0.0274,--,--,--,3.3703%,100.3110,银行间
16,2023-03-22 15:42:59,22万科MTN001,102280222.IB,1.85Y,3.6000%,1.99,98.8487,-0.0333,21843,22000.00,--,3.5801%,98.8820,银行间
17,2023-03-22 15:30:58,22万科MTN001,102280222.IB,1.85Y,3.5628%,-1.73,98.9151,0.0331,--,--,--,3.5801%,98.8820,银行间
18,2023-03-22 15:30:53,22万科MTN002,102280265.IB,1.90Y,3.5428%,-4.56,98.9766,0.0847,4963,5000.00,--,3.5884%,98.8919,银行间
19,2023-03-22 15:18:21,21万科MTN001,102100209.IB,313D,3.4000%,2.97,100.2848,-0.0262,--,--,--,3.3703%,100.3110,银行间
20,2023-03-22 15:13:41,21万科MTN001,102100209.IB,313D,3.4048%,3.45,100.2808,-0.0302,--,--,--,3.3703%,100.3110,银行间
21,2023-03-22 14:49:47,22万科MTN003,102280364.IB,1.93Y,3.6300%,3.77,98.8416,-0.0672,21790,22000.00,--,3.5923%,98.9088,银行间
22,2023-03-22 14:39:51,22万科MTN001,102280222.IB,1.85Y,3.5400%,-4.01,98.9550,0.0730,--,--,--,3.5801%,98.8820,银行间
23,2023-03-22 14:26:20,22万科MTN001,102280222.IB,1.85Y,3.5600%,-2.01,98.9201,0.0381,--,--,--,3.5801%,98.8820,银行间
