,日期,债券简称,债券代码,剩余期限,成交收益率,成交 - 中债(BP),成交净价,成交 - 中债(元),成交量(手),成交金额(万),中债行权,中债到期,中债净价,来源
0,2023-03-23 15:04:32,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,4000,400.00,--,--,--,上固收
1,2023-03-23 15:00:45,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,6000,600.00,--,--,--,上固收
2,2023-03-23 14:58:03,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,5000,500.00,--,--,--,上固收
3,2023-03-23 14:57:19,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,5000,500.00,--,--,--,上固收
4,2023-03-23 14:48:40,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,2000,200.00,--,--,--,上固收
5,2023-03-23 14:35:25,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,21000,2100.00,--,--,--,上固收
6,2023-03-23 14:35:20,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,7000,700.00,--,--,--,上固收
7,2023-03-23 14:27:26,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,20000,2000.00,--,--,--,上固收
8,2023-03-23 14:26:29,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,10000,1000.00,--,--,--,上固收
9,2023-03-23 14:26:18,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,10000,1000.00,--,--,--,上固收
10,2023-03-23 14:20:37,22驻产02,194361.SH,1.09Y+1.00Y,5.3621%,-20.27,99.9100,0.1957,9000,899.00,5.5648%,6.2131%,99.7143,上固收
11,2023-03-23 14:08:02,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,40000,4000.00,--,--,--,上固收
12,2023-03-23 14:04:35,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,5000,500.00,--,--,--,上固收
13,2023-03-23 14:04:09,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,5000,500.00,--,--,--,上固收
14,2023-03-23 13:45:58,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,5000,500.00,--,--,--,上固收
15,2023-03-23 13:45:04,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,5000,500.00,--,--,--,上固收
16,2023-03-23 13:44:25,23驻产D3,250234.SH,360D,5.9637%,--,100.0000,--,20000,2000.00,--,--,--,上固收
17,2023-03-21 14:54:22,22驻产D4,182794.SH,189D,5.0313%,-29.44,99.3350,0.1569,5000,497.00,--,5.3257%,99.1781,上固收
18,2023-03-21 14:47:13,22驻产D3,194767.SH,92D,6.0542%,83.33,99.3800,-0.2014,30000,2981.00,--,5.2209%,99.5814,上固收
19,2023-03-21 14:37:34,22驻产02,194361.SH,1.09Y+1.00Y,4.9594%,-60.54,100.3290,0.6167,5000,502.00,5.5648%,6.2798%,99.7123,上固收
20,2023-03-21 14:16:28,22驻产01,194174.SH,1.02Y+1.00Y,5.1300%,-40.91,100.2350,0.3832,5000,501.00,5.5391%,6.2352%,99.8518,上固收
21,2023-03-21 14:00:25,22驻产01,194174.SH,1.02Y+1.00Y,5.1350%,-40.41,100.2300,0.3782,5000,501.00,5.5391%,6.2352%,99.8518,上固收
22,2023-03-21 13:58:59,22驻产02,194361.SH,1.09Y+1.00Y,4.9652%,-59.96,100.3230,0.6107,5000,502.00,5.5648%,6.2798%,99.7123,上固收
23,2023-03-20 14:53:05,23驻产D2,114987.SH,340D,5.5429%,1.14,100.6200,-0.0211,15000,1509.00,--,5.5315%,100.6411,上固收
24,2023-03-20 14:33:30,23驻产D2,114987.SH,340D,5.5395%,0.80,100.6230,-0.0181,15000,1509.00,--,5.5315%,100.6411,上固收
25,2023-03-20 13:54:36,22驻产04,182869.SH,2.58Y+2.00Y,5.7433%,-77.89,98.2120,1.7787,10000,982.00,6.5222%,7.0372%,96.4333,上固收
26,2023-03-20 13:52:19,22驻产04,182869.SH,2.58Y+2.00Y,5.7420%,-78.02,98.2150,1.7817,10000,982.00,6.5222%,7.0372%,96.4333,上固收
27,2023-03-17 13:29:20,22驻产04,182869.SH,2.59Y+2.00Y,5.7412%,-81.69,98.2120,1.8634,10000,982.00,6.5581%,7.0744%,96.3486,上固收
28,2023-03-16 15:14:13,22驻产01,194174.SH,1.03Y+1.00Y,4.4495%,-113.77,100.9130,1.1122,5000,505.00,5.5872%,6.3222%,99.8008,上固收
29,2023-03-16 15:13:39,22驻产04,182869.SH,2.60Y+2.00Y,6.5730%,-1.23,96.3010,0.0175,10000,963.00,6.5853%,7.0982%,96.2835,上固收
30,2023-03-16 14:48:58,22驻产03,194625.SH,1.27Y+1.00Y,5.7304%,0.02,98.6840,-0.0102,8000,789.00,5.7302%,6.4552%,98.6942,上固收
31,2023-03-16 14:46:22,22驻产03,194625.SH,1.27Y+1.00Y,5.7314%,0.12,98.6830,-0.0112,8000,789.00,5.7302%,6.4552%,98.6942,上固收
32,2023-03-16 14:33:30,23驻产D2,114987.SH,344D,5.5968%,5.36,100.5820,-0.0537,10000,1006.00,--,5.5432%,100.6357,上固收
33,2023-03-16 14:32:51,23驻产D2,114987.SH,344D,5.5990%,5.58,100.5800,-0.0557,10000,1006.00,--,5.5432%,100.6357,上固收
34,2023-03-16 13:48:34,22驻产D3,194767.SH,97D,5.2522%,0.76,99.5600,0.0065,20000,1991.00,--,5.2446%,99.5535,上固收
35,2023-03-16 13:46:19,22驻产D3,194767.SH,97D,5.2446%,--,99.5620,0.0085,20000,1991.00,--,5.2446%,99.5535,上固收
36,2023-03-16 13:40:50,22驻产D3,194767.SH,97D,5.2296%,-1.50,99.5660,0.0125,20000,1991.00,--,5.2446%,99.5535,上固收
37,2023-03-15 13:47:47,22驻产02,194361.SH,1.11Y+1.00Y,5.7469%,10.69,99.5020,-0.1253,4000,398.00,5.6400%,6.4018%,99.6273,上固收
38,2023-03-15 13:47:27,22驻产02,194361.SH,1.11Y+1.00Y,5.7449%,10.49,99.5040,-0.1233,4000,398.00,5.6400%,6.4018%,99.6273,上固收
39,2023-03-14 15:05:59,22驻产D4,182794.SH,196D,6.8101%,144.68,98.3860,-0.7448,6000,590.00,--,5.3633%,99.1308,上固收
40,2023-03-14 14:44:28,22驻产04,182869.SH,2.60Y+2.00Y,5.3133%,-132.96,99.2120,3.0660,15000,1488.00,6.6429%,7.1329%,96.1460,上固收
41,2023-03-14 14:40:47,22驻产04,182869.SH,2.60Y+2.00Y,5.3091%,-133.38,99.2220,3.0760,15000,1488.00,6.6429%,7.1329%,96.1460,上固收
42,2023-03-14 14:40:35,22驻产04,182869.SH,2.60Y+2.00Y,5.3065%,-133.64,99.2280,3.0820,15000,1488.00,6.6429%,7.1329%,96.1460,上固收
43,2023-03-14 14:04:15,23驻产D2,114987.SH,346D,6.2480%,65.50,100.0000,-0.5955,10000,1000.00,--,5.5930%,100.5955,上固收
44,2023-03-14 13:08:29,22驻产D3,194767.SH,99D,3.9380%,-131.55,99.9080,0.3657,15000,1499.00,--,5.2535%,99.5423,上固收
45,2023-03-14 13:07:53,22驻产D3,194767.SH,99D,3.9270%,-132.65,99.9110,0.3687,15000,1499.00,--,5.2535%,99.5423,上固收
46,2023-03-13 15:05:46,22驻产04,182869.SH,2.60Y+2.00Y,5.3232%,-133.48,99.1880,3.0871,10000,992.00,6.6580%,7.1475%,96.1009,上固收
47,2023-03-13 14:51:57,22驻产04,182869.SH,2.60Y+2.00Y,5.3274%,-133.06,99.1780,3.0771,10000,992.00,6.6580%,7.1475%,96.1009,上固收
48,2023-03-13 14:47:42,22驻产04,182869.SH,2.60Y+2.00Y,5.3207%,-133.73,99.1940,3.0931,10000,992.00,6.6580%,7.1475%,96.1009,上固收
49,2023-03-10 14:35:09,22驻产D3,194767.SH,103D,4.6739%,-59.59,99.6970,0.1768,6300,628.00,--,5.2698%,99.5202,上固收
